img_id,svm_cls,svm_name,svm_conf,yolo_cls,yolo_name,yolo_conf,agree
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9985,0,BIODEGRADABLE,0.8953,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9996,0,BIODEGRADABLE,0.8886,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9999,0,BIODEGRADABLE,0.8667,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9975,0,BIODEGRADABLE,0.8646,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9996,0,BIODEGRADABLE,0.8605,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9998,0,BIODEGRADABLE,0.8545,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9992,0,BIODEGRADABLE,0.8506,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9991,0,BIODEGRADABLE,0.8495,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9996,0,BIODEGRADABLE,0.8484,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9984,0,BIODEGRADABLE,0.8427,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9984,0,BIODEGRADABLE,0.8427,True
biodegradable1001_jpg.rf.7903fa84ae12e27e6ee0149bdeeb1876,0,BIODEGRADABLE,0.9996,0,BIODEGRADABLE,0.8386,True
